Temperatura,Humedad,HumedadTerre,Luminosidad,PH,VelociViento
17,39,42,14,6,10
32,35,99,7,5,13
18,41,46,39,4,21
31,91,13,62,4,5
30,39,39,16,5,3
41,82,33,45,6,11
30,83,73,41,7,14
38,61,4,36,4,10
29,97,57,73,7,4
40,71,72,13,5,17
34,48,87,87,6,18
43,45,4,8,6,18
21,75,48,46,6,7
21,69,43,68,6,10
21,97,93,2,7,1
28,41,84,61,6,14
43,82,59,51,4,9
19,60,26,64,4,3
21,54,61,64,4,29
21,44,59,67,6,18
36,48,59,0,6,26
24,93,87,85,7,2
43,72,38,38,6,21
26,57,64,91,5,28
41,69,23,55,6,5
16,57,47,93,4,18
42,83,0,65,6,3
30,48,25,71,6,1
35,69,13,96,6,8
34,35,99,39,7,11
34,76,46,6,7,1
23,51,95,36,5,27
39,41,95,14,6,10
19,48,25,16,6,17
24,35,34,52,6,16
29,51,46,80,5,12
18,43,62,55,6,10
25,58,16,84,4,25
27,75,66,48,7,17
39,34,33,59,5,16
21,33,53,98,7,10
35,70,12,71,6,17
15,40,62,37,7,29
25,59,21,31,5,3
26,90,9,9,7,23
28,99,51,41,6,14
21,44,10,65,7,22
42,82,62,33,7,11
27,58,17,21,6,20
39,92,74,12,7,4
22,42,74,51,4,2
28,90,37,22,5,18
15,35,75,46,6,14
22,82,17,9,7,13
36,97,41,31,4,19
33,64,83,44,6,2
42,81,89,26,7,7
30,45,8,90,6,4
28,40,45,87,5,20
15,55,55,1,5,18
32,58,30,54,7,11
34,99,80,83,4,18
22,68,78,20,7,12
29,77,19,41,7,25
40,30,57,19,7,6
22,68,53,27,6,15
43,48,9,41,6,28
41,49,60,2,7,12
34,70,75,6,7,3
37,70,70,1,7,5
16,93,87,42,7,6
41,30,82,69,6,3
26,52,0,55,6,12
27,87,2,32,4,22
34,41,41,79,6,14
42,47,64,14,7,23
37,89,18,36,4,29
23,75,86,19,6,13
34,33,58,34,6,27
32,69,13,10,7,7
41,59,10,21,7,20
36,82,76,17,6,29
30,61,27,17,6,1
39,98,76,12,5,0
40,83,17,8,7,9
37,54,15,63,7,13
32,30,39,22,6,24
31,98,82,30,4,16
37,69,26,53,7,13
35,43,90,1,5,23
18,35,26,80,6,7
27,37,17,51,4,14
24,82,70,3,5,1
41,54,65,60,6,0
40,91,93,0,6,8
17,40,35,95,5,20
43,58,0,66,4,14
43,94,99,20,4,8
26,59,8,45,7,6
36,80,96,93,4,28
22,95,73,64,4,13
33,32,16,53,5,6
19,70,32,81,7,9
29,63,82,95,5,7
41,95,41,14,7,10
38,48,0,21,6,4
22,77,61,31,6,26
24,45,59,66,6,11
40,50,64,15,6,17
37,40,65,87,6,11
36,95,72,52,4,7
20,90,5,98,6,11
25,56,18,73,4,5
36,36,93,41,7,14
22,80,50,87,5,28
41,74,79,82,6,16
33,66,61,22,6,2
20,71,30,41,4,19
19,40,90,86,5,6
31,47,11,85,6,13
37,56,13,84,7,9
42,89,31,7,5,3
19,42,46,75,4,3
30,90,90,85,5,29
21,76,72,55,5,13
39,57,42,54,7,23
43,97,75,62,4,8
32,72,8,80,6,3
25,93,29,39,6,22
28,63,66,98,7,4
30,71,61,42,7,20
20,61,36,9,4,10
31,86,75,37,4,19
32,35,40,50,7,9
37,43,6,41,4,11
36,82,10,61,4,15
22,61,54,7,7,25
39,72,12,20,6,27
37,84,76,57,5,20
18,65,32,34,7,17
42,31,7,55,5,0
25,61,10,71,7,21
35,52,4,21,6,12
33,35,99,5,6,26
15,97,6,79,6,21
24,62,97,96,7,24
15,75,76,74,6,0
15,92,44,1,7,1
42,36,79,44,4,26
32,82,47,33,7,27
43,96,58,69,7,1
35,43,50,8,4,9
29,86,98,8,5,15
19,72,42,36,6,13
21,50,44,6,4,4
16,80,87,84,4,29
38,40,54,86,5,8
42,35,69,77,7,21
33,38,45,26,5,19
43,91,94,33,6,3
17,65,24,48,6,16
25,73,44,40,4,25
17,84,27,91,5,7
35,48,49,11,6,6
22,61,57,37,6,1
34,43,49,20,5,2
22,45,80,95,6,22
39,60,47,13,5,23
16,81,1,77,7,0
24,71,7,50,4,28
30,36,39,11,4,29
27,60,7,8,6,2
41,44,44,94,4,6
25,56,24,19,6,3
42,64,83,58,6,0
30,43,62,42,4,13
21,62,79,30,4,16
22,33,28,39,5,28
16,51,88,7,5,15
31,50,86,46,6,10
22,82,20,38,6,5
31,59,67,11,5,8
40,32,13,53,5,5
35,76,41,74,4,7
16,97,54,99,4,18
39,39,29,18,5,0
29,40,48,28,4,4
41,46,85,10,7,12
32,48,67,29,4,23
19,78,12,22,5,24
31,49,85,58,7,9
16,66,94,38,4,22
29,50,5,5,4,27
37,59,83,82,4,0
42,90,11,14,4,10
24,96,82,17,4,28
24,39,93,6,6,19
37,41,11,50,7,5
34,40,10,47,4,20
20,33,58,56,6,24
32,87,18,0,7,1
26,99,59,88,7,19
32,34,1,48,5,11
38,70,18,65,7,7
27,32,34,65,7,6
38,79,68,46,6,4
15,90,3,88,4,12
30,88,2,36,6,22
17,55,20,60,7,10
32,59,26,18,4,10
26,79,69,30,4,17
32,72,48,46,6,14
41,82,2,88,4,28
29,95,71,52,6,7
25,58,56,87,6,9
23,78,0,47,4,12
27,92,87,46,5,11
38,52,92,33,6,7
36,65,47,47,6,19
25,56,55,50,5,7
42,31,6,8,6,9
21,33,40,28,4,4
24,47,33,1,7,19
39,38,0,45,4,28
22,92,9,93,5,19
30,66,26,18,7,5
28,32,23,79,6,16
25,53,93,31,4,15
36,74,45,79,4,1
27,44,93,22,7,14
36,77,92,27,7,13
34,62,48,91,7,3
42,69,60,2,7,22
15,88,61,43,7,9
22,58,97,98,5,15
41,74,10,90,6,29
27,72,0,73,6,26
33,40,87,4,5,7
24,88,33,1,5,0
27,66,0,95,4,25
18,30,20,70,5,23
43,54,63,13,7,25
26,35,52,59,7,29
40,84,79,49,4,1
41,79,25,3,5,21
16,75,77,99,4,10
30,80,66,93,7,23
18,65,67,88,6,28
35,49,39,88,4,13
43,93,23,21,6,13
35,70,64,31,5,15
22,79,27,50,6,22
17,57,89,13,4,28
29,37,75,29,4,23
25,70,87,38,7,21
35,77,39,75,5,8
32,41,36,60,5,0
42,84,67,39,5,7
38,61,8,22,7,5
30,55,25,45,6,11
44,41,16,22,6,25
38,69,91,39,7,18
29,86,79,37,6,1
37,83,11,72,5,11
29,61,10,86,7,16
21,58,61,63,6,11
26,50,10,9,6,21
26,46,25,26,5,25
44,92,24,3,7,19
17,35,48,3,7,0
32,94,8,26,5,12
20,49,25,83,7,29
19,36,75,55,5,3
31,89,29,65,7,12
26,70,0,56,7,10
36,70,35,17,6,8
21,41,22,55,7,16
26,34,23,8,6,0
16,58,56,14,6,17
37,51,4,46,6,9
29,77,12,99,5,2
30,30,77,61,5,4
37,98,55,61,6,25
44,48,29,12,6,6
16,89,33,92,5,18
19,47,11,13,4,23
19,35,59,42,5,3
18,88,0,47,4,27
31,59,96,58,6,26
43,89,71,20,7,20
35,70,49,35,6,12
35,80,3,44,6,3
31,31,51,44,7,10
43,51,87,70,7,0
40,44,38,35,5,9
32,86,18,80,5,2
44,96,7,0,7,18
16,82,54,88,7,11
15,36,42,50,4,12
22,85,89,58,6,7
24,93,42,63,5,5
29,59,52,63,5,25
15,34,86,66,4,11
19,82,28,6,6,1
32,35,11,87,5,27
42,82,89,79,4,26
40,35,4,21,7,23
25,98,7,91,4,27
37,57,58,21,4,14
30,89,71,30,7,13
16,91,1,18,6,10
25,91,50,6,6,17
28,62,15,88,4,12
24,92,43,62,4,12
38,52,38,98,6,14
22,66,57,72,6,8
22,85,8,92,4,6
24,92,50,7,6,16
34,64,5,34,7,8
16,35,62,20,5,25
37,44,15,36,4,27
20,52,9,62,5,21
16,76,30,18,4,0
41,70,57,26,4,9
24,86,2,27,7,18
26,52,25,9,5,8
28,51,46,64,7,29
20,50,77,55,4,6
28,34,77,50,4,0
26,37,73,96,6,22
26,95,28,63,7,17
40,71,6,76,5,28
31,59,78,1,6,10
31,54,98,67,4,26
37,75,73,64,7,19
31,32,73,37,4,28
24,53,70,2,6,3
34,83,70,99,5,20
39,93,81,81,6,28
43,83,93,11,6,28
31,98,67,81,4,8
21,69,24,69,6,15
34,56,65,5,4,16
27,31,80,18,4,19
41,62,6,87,7,25
44,39,40,75,5,4
26,34,99,84,5,21
43,79,40,84,6,11
43,56,88,21,5,28
37,40,16,86,5,3
17,91,93,15,6,26
30,77,47,38,4,12
37,63,52,33,4,25
17,79,54,79,7,5
37,53,97,59,7,1
35,82,81,71,6,18
31,63,52,49,7,16
35,96,78,0,7,14
27,86,57,80,4,16
20,47,33,41,6,4
31,85,46,70,7,15
36,37,84,51,7,4
29,70,77,80,4,21
30,55,37,4,6,6
33,75,96,65,5,11
37,95,85,88,4,26
28,39,10,60,4,29
26,73,51,58,5,18
30,85,12,31,4,21
22,69,19,33,5,1
25,30,19,35,5,22
26,48,76,72,5,0
40,68,40,87,4,18
23,76,44,37,5,4
29,96,42,75,4,22
34,95,5,40,4,4
26,88,30,43,5,13
42,78,96,30,4,3
23,91,0,67,6,4
16,83,13,0,6,16
43,85,42,90,4,22
34,46,1,39,5,2
19,43,29,60,7,24
43,95,55,0,7,28
33,39,22,21,4,5
17,91,85,35,6,8
19,85,90,68,6,20
39,91,38,96,4,16
42,42,79,54,6,2
25,33,99,54,5,26
32,37,61,99,7,12
37,37,10,86,6,27
24,87,90,24,6,27
21,94,42,4,7,15
15,34,14,24,4,5
22,88,5,21,4,3
15,73,83,98,4,9
42,30,56,94,6,15
39,74,85,11,4,5
40,73,75,79,5,13
18,40,36,35,5,16
30,50,60,58,6,13
36,63,72,95,5,16
18,48,15,85,4,21
27,57,20,48,6,1
39,58,43,77,4,21
35,37,26,16,4,23
34,78,70,80,4,8
42,75,38,34,4,20
18,69,52,76,7,10
25,33,79,5,6,7
17,35,80,70,4,17
21,62,80,41,6,14
28,61,73,85,7,2
30,48,48,50,5,29
39,75,65,2,7,24
28,62,45,23,6,2
20,42,75,31,5,15
33,85,14,56,7,14
40,83,47,19,6,16
24,50,98,28,6,9
43,64,24,23,7,4
39,56,48,89,6,22
16,65,81,22,5,24
30,35,5,36,5,19
20,87,4,50,4,15
34,94,75,92,7,28
15,36,23,66,4,2
42,91,85,33,6,13
18,92,52,13,6,18
35,43,35,17,5,20
38,50,24,95,4,21
27,54,1,89,5,29
35,92,45,9,4,17
38,75,48,9,5,16
34,77,72,41,4,16
25,72,1,47,6,26
29,44,47,68,5,8
33,90,18,9,4,4
43,98,83,32,4,21
19,31,59,66,5,20
30,63,99,57,4,25
22,97,10,23,6,7
22,64,47,97,4,8
27,87,95,24,5,7
43,89,17,64,7,28
29,38,95,32,6,11
36,82,78,18,7,29
27,34,23,34,5,10
31,58,35,10,5,19
44,34,37,81,4,29
23,68,5,27,4,19
38,78,56,95,6,21
17,60,11,99,5,17
21,76,38,42,6,6
35,80,68,49,7,17
16,42,88,21,5,29
44,93,46,70,6,23
40,78,59,49,7,28
38,74,24,40,4,11
18,55,35,25,4,25
21,89,7,93,7,14
28,45,99,51,4,24
33,37,61,28,5,27
39,51,37,62,6,6
20,56,13,54,5,15
24,31,71,52,4,11
30,51,56,17,5,7
20,88,96,66,5,24
21,50,76,21,4,12
38,41,19,43,6,1
38,53,74,0,7,3
35,49,63,70,7,2
36,84,78,96,5,29
44,86,12,56,4,11
38,96,66,37,4,26
27,69,66,97,7,4
22,33,10,28,4,27
43,83,6,86,5,24
15,60,66,89,6,8
30,96,69,24,4,10
38,54,63,94,7,16
34,48,14,51,5,5
26,48,16,62,6,8
40,32,74,94,5,15
20,30,71,5,5,24
40,74,17,41,4,1
15,98,74,51,7,20
29,71,21,79,4,29
26,72,68,41,6,11
19,92,35,25,7,29
18,99,96,25,4,21
27,82,21,83,5,21
28,73,82,36,5,3
19,95,44,86,6,13
18,45,47,28,4,4
20,39,6,83,5,12
42,39,40,73,5,17
29,95,49,30,7,11
38,31,87,27,5,4
27,71,92,1,4,2
20,82,20,12,6,5
28,62,49,55,4,15
18,64,14,68,4,6
17,85,23,68,7,25
28,87,22,85,4,5
31,63,33,95,5,2
26,70,73,76,5,11
41,61,14,72,6,0
18,43,75,30,6,18
18,79,21,85,4,27
39,88,27,4,5,11
44,75,3,84,5,22
24,39,45,14,7,22
24,94,31,88,4,24
36,83,19,12,7,12
19,89,86,3,7,2
36,84,71,29,4,18
41,87,47,64,6,24
29,79,20,22,7,19
19,33,30,81,4,19
33,48,72,98,4,23
30,70,41,99,4,12
17,96,31,53,4,21
37,83,2,38,6,20
33,68,60,4,5,4
32,60,31,71,4,7
24,71,79,33,5,21
36,35,14,54,5,20
24,49,97,38,4,14
27,88,70,0,5,26
17,53,65,70,7,18
38,56,83,86,6,28
24,42,33,34,6,2
24,54,71,43,6,16
25,96,33,55,4,18
28,63,48,62,6,12
43,62,18,56,6,18
40,50,63,97,6,27
28,84,19,25,6,24
44,86,37,2,4,11
34,95,6,28,4,24
27,40,38,0,5,0
